paper_id,title,corpus_group,year,arxiv_or_venue,problem,threat_model,attack,defense,adaptive_component,evaluation_protocol,datasets_benchmarks,metrics,limitations,overlap_with_adapti_guard
P01,Formalizing and Benchmarking Prompt Injection Attacks and Defenses,01_BASE_Q1,2024,2310.12815,Prompt injection attack formalization (direct/indirect),Prompt injection attack formalization (direct/indirect),NO,Defense taxonomy / benchmarking framework,NO,Formal attack/defense benchmarks across LLMs/tasks,Formal attack/defense benchmarks across LLMs/tasks,PARTIAL,No runtime discrete intervention-level SUC controller,BACKGROUND
P02,Benchmarking and Defending Against Indirect Prompt Injection Attacks on Large Language Models (BIPIA),01_BASE_Q1,2023,2312.14197,Indirect prompt injection across app scenarios,Indirect prompt injection across app scenarios,NO,Boundary awareness + explicit reminder defenses,NO,BIPIA multi-scenario LLM evaluation,BIPIA multi-scenario LLM evaluation,YES,Static defenses; no adaptive L0–L3 policy,BACKGROUND
P03,InjecAgent: Benchmarking Indirect Prompt Injections in Tool-Integrated Large Language Model Agents,01_BASE_Q1,2024,2403.02691,Indirect PI in tool-integrated agents,Indirect PI in tool-integrated agents,PARTIAL,Benchmark (not a defense),N/A,InjecAgent ReAct-agent attack cases,InjecAgent ReAct-agent attack cases,PARTIAL,Eval bench; no AG-style adaptive intervention levels,BACKGROUND
P04,AgentDojo: A Dynamic Environment to Evaluate Prompt Injection Attacks and Defenses for LLM Agents,01_BASE_Q1,2024,2406.13352,Tool-calling agents over untrusted data / IPI,Tool-calling agents over untrusted data / IPI,YES,Extensible attack/defense eval environment,PARTIAL,97 tasks / 629 cases; extensible adaptive attacks,97 tasks / 629 cases; extensible adaptive attacks,YES,Environment only; not discrete SUC level policy,BACKGROUND
P05,Agent Security Bench (ASB): Formalizing and Benchmarking Attacks and Defenses in LLM-based Agents,01_BASE_Q1,2024,2410.02644,Multi-scenario agent attacks incl. PI,Multi-scenario agent attacks incl. PI,PARTIAL,Benchmark of attacks/defenses,N/A,ASB multi-backbone attack/defense suite,ASB multi-backbone attack/defense suite,PARTIAL,No AG mixed 75/25 SUC level controller,BACKGROUND
P06,StruQ: Defending Against Prompt Injection with Structured Queries,01_BASE_Q1,2024,2402.06363,Prompt injection into LLM-integrated apps,Prompt injection into LLM-integrated apps,PARTIAL,Structured-query SFT separating instruction/data,NO,Optimization-free + optimization-based ASR; utility checks,Optimization-free + optimization-based ASR; utility checks,YES,Training-time static model; no runtime levels,BACKGROUND
P07,SecAlign: Defending Against Prompt Injection with Preference Optimization,01_BASE_Q1,2024,2410.05451,Prompt injection (preference-optimized robustness),Prompt injection (preference-optimized robustness),PARTIAL,DPO preference optimization on secure vs insecure outputs,NO,Optimization-based PI ASR + utility,Optimization-based PI ASR + utility,YES,Static after training; no episode-level adaptation,BACKGROUND
P08,The Instruction Hierarchy: Training LLMs to Prioritize Privileged Instructions,01_BASE_Q1,2024,2404.13208,Prompt injection / privilege confusion,Prompt injection / privilege confusion,NO,Privilege-ordered instruction hierarchy training,NO,Privilege instruction following evaluations,Privilege instruction following evaluations,PARTIAL,Model priority training ≠ AG runtime policy state,BACKGROUND
P09,Defending Against Indirect Prompt Injection Attacks With Spotlighting,01_BASE_Q1,2024,2403.14720,Indirect prompt injection,Indirect prompt injection,NO,Provenance-signaling input transformations,NO,IPI mitigation via spotlighting transforms,IPI mitigation via spotlighting transforms,PARTIAL,Fixed prompting defense; no SUC level policy,BACKGROUND
P10,A Critical Evaluation of Defenses against Prompt Injection Attacks,01_BASE_Q1,2025,2505.18333,Re-evaluation of PI defenses under adaptive/utility stress,Re-evaluation of PI defenses under adaptive/utility stress,YES,Critical evaluation methodology (not a new defense),N/A,Principled re-eval of StruQ/SecAlign/guards,Principled re-eval of StruQ/SecAlign/guards,YES,Eval critique; complementary to AG claim hygiene,BACKGROUND
P11,AgentDyn: Are Your Agent Security Defenses Deployable in Real-World Dynamic Environments?,02_AGENT_SECURITY,2026,2602.03117,IPI in dynamic open-ended agent tasks,IPI in dynamic open-ended agent tasks,PARTIAL,Eval of prompting/filter/alignment/system defenses on AgentDyn,PARTIAL,60 open-ended tasks / 560 injections; 10 defenses,60 open-ended tasks / 560 injections; 10 defenses,YES,Shows over-defense/utility collapse; no AG L0–L3 SUC protocol vs fixed levels,PARTIAL_OVERLAP
